p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
1.8582947014805e-32	1.0543484364453	0.96	0.843	3.93698315455658e-28	NFKBIZ	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.22282659239329e-32	0.880539768723607	0.94	0.952	4.70928041864443e-28	PARP14	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.00712321218865e-32	0.585483855293169	0.78	0.889	6.37089123734288e-28	TRIM25	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.14971207168018e-32	-0.826864148423229	0.9	0.991	6.67297999506163e-28	ITGB1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.36369451129903e-32	1.09481856301193	1	0.985	1.34821231916381e-27	RNF213	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.7950794915957e-32	-0.812269180988531	0.6	0.989	1.43960554108947e-27	PSAP	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.97264369767815e-32	0.644746602112998	0.9	0.758	1.68908429379009e-27	GATA6	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.30720259497456e-31	1.24988267190207	0.94	0.593	2.76943941771311e-27	ICAM1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.94756130086549e-31	-0.812997607681097	1	1	4.12610337201362e-27	HLA-A	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.05304224361144e-31	0.788917532834239	0.84	0.566	4.3495752973152e-27	BCL3	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.51654496840808e-31	0.631391498833674	0.92	0.826	5.33155217006935e-27	SETD5	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.68359972206161e-31	0.656782871766797	0.94	0.839	5.68547437115974e-27	PHACTR4	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.89769447036193e-31	0.735819107287046	0.96	0.845	8.25765550490878e-27	BAZ1A	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.43664060450681e-31	0.86361909887299	0.82	0.688	9.39946678470813e-27	JUNB	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.11703359185026e-31	1.16311401435005	0.72	0.126	1.0840947367694e-26	HERC5	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.50263781560669e-31	-0.916260971595217	0.74	0.983	1.16578884761443e-26	CD9	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.01321686019969e-31	1.36450883419749	0.7	0.068	1.48582012400191e-26	OASL	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.45909693262917e-31	0.892324004974235	0.92	0.41	1.58028427614682e-26	TNF	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.46040433321549e-30	0.713929137317527	0.84	0.634	3.09401262035034e-26	TRIM22	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.87756905186721e-30	1.21804483034007	0.74	0.242	3.97781779328587e-26	RSAD2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.9146613344045e-30	0.656672419049207	0.78	0.349	4.05640150306937e-26	USP18	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.91933912400008e-30	-0.757009874344794	0.7	0.985	6.18491186810658e-26	SKP1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.96618283472695e-30	0.817711045251897	0.9	0.697	6.28415495365251e-26	CHD2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.97002447776668e-30	0.875600115356156	0.74	0.373	6.29229385859649e-26	CX3CL1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.04252132828254e-30	-0.890450865434895	0.78	0.996	6.44588568609939e-26	CALR	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.48176412439646e-30	0.590549848326222	0.58	0.285	7.37646547394633e-26	SAMHD1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.82967097072476e-30	0.565559661275294	0.88	0.54	8.11354091857747e-26	SRFBP1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.01795901514263e-30	0.729469665310688	0.94	0.893	1.06310479694812e-25	SMG1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
8.27075453925551e-30	-0.87577073589041	1	1	1.75224205668667e-25	HLA-C	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.06328459892465e-29	0.919694850231536	0.86	0.789	2.25267475128177e-25	CEBPD	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.08044312965471e-29	0.737494400182751	0.76	0.253	2.28902681448646e-25	RP11-37B2.1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.08853054417326e-29	0.737561596715435	0.7	0.397	2.30616081088548e-25	BATF2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.26196088618824e-29	0.7554807926186	0.98	0.889	2.67359033347841e-25	KMT2A	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.27181306994317e-29	1.07455235263706	0.7	0.078	2.6944631699816e-25	IFI44L	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.28734933820293e-29	-0.645528143104795	0.92	0.996	2.72737830791673e-25	ARPC2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.37657563552666e-29	0.641685854205689	0.88	0.8	2.91641314142679e-25	RBM33	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.48188876656303e-29	0.651417208446993	0.74	0.346	3.13952954084044e-25	PPM1K	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.04806806919462e-29	-0.800573108812847	0.58	0.989	4.33903701139572e-25	SLC44A4	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.14830264566028e-29	1.33015914340436	1	0.961	4.55139398509586e-25	TXNIP	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
