p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
7.08455406603033e-41	0.352222877577554	0.774	0.575	1.50093362442918e-36	OGFR	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.63652978557423e-40	0.467721134478195	0.901	0.887	5.58575200371757e-36	PSMB9	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.30443733373153e-40	0.309425162033191	0.732	0.486	9.11938093524363e-36	CNP	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
9.85740231479406e-40	0.394879844897444	0.819	0.521	2.08838925441227e-35	TRANK1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.08147427201588e-39	0.306154052707795	0.633	0.246	2.29121139269285e-35	RTP4	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.41290914527083e-39	0.318642685442353	0.361	0.022	2.99338931517079e-35	PLEKHA4	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.84284219964564e-39	0.340130284415904	0.822	0.627	1.02600454841692e-34	PARP12	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
8.68853395127181e-39	0.281645969900344	0.738	0.575	1.84075280291644e-34	PHF11	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.72914352038514e-38	0.42981611653802	0.976	0.95	1.0019163462288e-33	SMCHD1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
8.65236516504069e-38	0.281164351007451	0.81	0.81	1.83309008386552e-33	NBN	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.06502320732195e-37	-0.38216382264149	0.979	0.998	8.61215816703228e-33	CYBA	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.9152524606813e-36	0.403846383162979	0.88	0.76	4.05765386319941e-32	MYCBP2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.14647860317369e-36	0.314221030401185	0.771	0.636	8.78472956868378e-32	MYD88	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.17745577737202e-35	0.440054865194992	0.657	0.401	8.85035780994037e-31	APOL1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.19658509852819e-35	0.278786085724852	0.62	0.279	8.89088518974183e-31	MLKL	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.45317088022894e-35	-0.470532507412726	0.985	0.998	1.1553087826853e-30	KRT20	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.93899944736774e-34	0.315953506826653	0.678	0.383	4.1079642291933e-30	TOR1B	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.18748231565462e-34	0.565334942639456	0.636	0.373	4.63440003394589e-30	CX3CL1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.5214224901348e-34	-0.444869549218567	0.958	0.993	9.57908568759959e-30	TSPAN1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.06110015393642e-34	0.31061306132421	0.84	0.802	1.07224467861297e-29	ANKIB1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.00999559396078e-34	-0.34184155922862	0.994	1	1.48513766653653e-29	CALM1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.44724312103724e-33	0.359633438927577	0.732	0.49	3.0661292762295e-29	APOL2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.4416237268451e-33	0.255397544963386	0.587	0.224	1.3647224027694e-28	SP110	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.66866525591452e-33	0.301395229342394	0.828	0.786	1.41282342111805e-28	METRNL	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
9.40577239710077e-33	0.336553664400865	0.648	0.301	1.99270694004977e-28	PARP10	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.19764956660167e-32	0.327322402227656	0.831	0.773	2.53734037180229e-28	SP140L	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.92999549557764e-32	0.271108270553656	0.361	0.05	1.46818884569308e-27	HRASLS2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.56889171744613e-32	0.373919870911112	0.898	0.845	1.60354539925814e-27	BAZ1A	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
8.46487721049957e-32	0.336357089206451	0.946	0.952	1.79336888581644e-27	SMARCA5	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
9.90597724163033e-32	0.275398303570053	0.843	0.76	2.0986803384118e-27	PCGF5	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.10689391260518e-31	0.254622703111238	0.575	0.218	2.34506544324534e-27	C17orf67	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.53652554283627e-31	0.256277932408738	0.633	0.366	3.25528301505291e-27	PARP8	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.5424154398535e-31	0.271547224633191	0.774	0.599	3.26776135087362e-27	ANKFY1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.43235751829537e-31	0.480529702100091	0.762	0.688	5.15319263826057e-27	WARS	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.7033703907426e-31	-0.464024920052922	1	1	5.72736050982728e-27	FTH1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.25118151898785e-30	0.275588954572285	0.72	0.508	6.88795316612767e-26	IFIT5	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.09204388896098e-30	0.29790733318157	0.889	0.885	8.66940418315273e-26	EHF	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.82309907539075e-30	0.299729472618656	0.87	0.784	1.44554177011228e-25	TRIM14	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.56122371060728e-29	0.376299433392354	0.563	0.298	3.30760855329258e-25	IFITM2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.1919382848137e-29	0.359310445271319	0.958	0.922	4.64384045020631e-25	GPBP1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.8225774888027e-29	-0.363103733461117	0.901	0.978	1.02171126677774e-24	ATP6V0E1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.12642480195267e-28	-0.290418829118618	0.934	0.978	2.38644358541692e-24	BZW1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.94594295412188e-28	0.35383935485296	0.943	0.937	1.04784747426026e-23	DNAJA1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.80175048962351e-28	-0.392122123589201	0.982	0.998	1.44101885873164e-23	CYSTM1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.59491520166739e-27	0.257027463294638	0.623	0.272	3.37898734625253e-23	NLRC5	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.86595591292549e-27	0.278259791273742	0.771	0.612	6.07181419712395e-23	TAP2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.16466995775793e-27	0.473927540798868	0.837	0.789	8.82326977250595e-23	CEBPD	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.30112421981531e-27	-0.297645615100316	0.919	0.978	1.33495617721007e-22	NDUFC2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
