ligand	receptor	ligand_cell_source	ligand_dir	target_cell_counts	receptor_cell_target
HLA-DRB1	CD4	ciliated_cells	upreg	6	DC_plasma,MD_macrophage,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Treg
HLA-DRB5	CD4	ciliated_cells	upreg	6	DC_plasma,MD_macrophage,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Treg
HLA-F	KIR3DL2	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-F	KLRC1	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-F	KLRC2	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-F	KLRC3	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-F	KLRC4	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
HLA-F	LILRB2	ciliated_cells	upreg	4	DC_plasma,MD_macrophage,Nonresident_macrophage,Resident_macrophage
HSPA1A	ENPP1	ciliated_cells	downreg	2	Resident_macrophage,Treg
HSPA1A	NOD2	ciliated_cells	downreg	4	MD_macrophage,Nonresident_macrophage,Resident_macrophage,Tcell_cyto
HSPA1A	NR3C1	ciliated_cells	downreg	9	Bcell,DC_plasma,MD_macrophage,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
HSPA1A	TLR4	ciliated_cells	downreg	1	Nonresident_macrophage
LCN2	NR3C1	ciliated_cells	upreg	9	Bcell,DC_plasma,MD_macrophage,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
LCN2	PKD1	ciliated_cells	upreg	4	NKcell_prolif,Nonresident_macrophage,Tcell_cyto,Treg
LYPD3	AGR2	ciliated_cells	downreg	6	Bcell,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Treg
MDK	ITGA4	ciliated_cells	upreg	7	Bcell,MD_macrophage,Mastcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
MDK	ITGA6	ciliated_cells	upreg	3	NKcell_prolif,Tcell_cyto,Treg
MDK	ITGB1	ciliated_cells	upreg	9	Bcell,DC_plasma,MD_macrophage,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
MDK	LRP1	ciliated_cells	upreg	4	NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto
MDK	SDC1	ciliated_cells	upreg	1	NKcell_prolif
MDK	SDC3	ciliated_cells	upreg	1	Nonresident_macrophage
MDK	TSPAN1	ciliated_cells	upreg	6	Bcell,NKcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto
