SYMBOL	gene_symbol	human_protein	viral_protein
TTC27	orf7a	TTC27	orf7a
SLC18B1	M	SLC18B1	M
NCAPH2	M	NCAPH2	M
LMBRD2	M	LMBRD2	M
TMTC4	M	TMTC4	M
ABCC10	M	ABCC10	M
ODR4	M	ODR4	M
YIF1B	M	YIF1B	M
YIF1B	nsp6	YIF1B	nsp6
PLEKHG4	M	PLEKHG4	M
PYCR3	M	PYCR3	M
WDR72	M	WDR72	M
SGCB	M	SGCB	M
SGCB	orf7b	SGCB	orf7b
NFE2L2	M	NFE2L2	M
UBE3C	M	UBE3C	M
UBE3C	orf7a	UBE3C	orf7a
POLD3	M	POLD3	M
PEX6	M	PEX6	M
NME3	M	NME3	M
NME3	orf8	NME3	orf8
MALL	M	MALL	M
FPGS	M	FPGS	M
CAV1	M	CAV1	M
CAV1	nsp6	CAV1	nsp6
ATP8B2	M	ATP8B2	M
ELF3	M	ELF3	M
ATP12A	M	ATP12A	M
ALDH5A1	M	ALDH5A1	M
CAV2	M	CAV2	M
CAV2	nsp6	CAV2	nsp6
IRAK1	M	IRAK1	M
PSEN2	M	PSEN2	M
PSEN2	orf7b	PSEN2	orf7b
HARS2	M	HARS2	M
NR2C2	M	NR2C2	M
ACADSB	M	ACADSB	M
NCAPD3	M	NCAPD3	M
NCAPD3	orf7a	NCAPD3	orf7a
ECI1	M	ECI1	M
ATP7B	M	ATP7B	M
AK4	M	AK4	M
ACAT1	M	ACAT1	M
SLC9A1	M	SLC9A1	M
ACADS	M	ACADS	M
PC	M	PC	M
PC	orf7a	PC	orf7a
GUSB	M	GUSB	M
SERPINE2	M	SERPINE2	M
PCCB	M	PCCB	M
PCCA	M	PCCA	M
FADS2	M	FADS2	M
STARD3NL	M	STARD3NL	M
NDUFA10	M	NDUFA10	M
IPO13	M	IPO13	M
LTN1	M	LTN1	M
LTN1	orf7a	LTN1	orf7a
ALDH1A2	M	ALDH1A2	M
SLC22A5	M	SLC22A5	M
UPK1B	M	UPK1B	M
MED24	M	MED24	M
NDUFS2	M	NDUFS2	M
JAK2	M	JAK2	M
MCM3AP	M	MCM3AP	M
ORC4	M	ORC4	M
SLC37A4	M	SLC37A4	M
RBFOX2	M	RBFOX2	M
SLC16A4	M	SLC16A4	M
GPR37	M	GPR37	M
FANCG	M	FANCG	M
KIAA0355	M	KIAA0355	M
NR5A2	M	NR5A2	M
NDUFS8	M	NDUFS8	M
HAX1	M	HAX1	M
RBFOX3	M	RBFOX3	M
DENND11	M	DENND11	M
NUP98	orf6	NUP98	orf6
RAE1	orf6	RAE1	orf6
CEP170	orf6	CEP170	orf6
MRPS27	orf6	MRPS27	orf6
MRPS27	nsp8	MRPS27	nsp8
DSP	orf6	DSP	orf6
ACLY	orf6	ACLY	orf6
ACLY	nsp8	ACLY	nsp8
ACLY	nsp10	ACLY	nsp10
ACLY	nsp14	ACLY	nsp14
ATAD3B	orf6	ATAD3B	orf6
MYCBP2	orf6	MYCBP2	orf6
MYCBP2	nsp12	MYCBP2	nsp12
BCAS2	orf6	BCAS2	orf6
BCAS2	nsp15	BCAS2	nsp15
ATAD3A	orf6	ATAD3A	orf6
ATAD3A	orf8	ATAD3A	orf8
ATAD3A	orf14	ATAD3A	orf14
ATAD3A	orf7b	ATAD3A	orf7b
KIF5B	orf6	KIF5B	orf6
DCTN2	orf6	DCTN2	orf6
EDC4	orf6	EDC4	orf6
MTCH1	orf6	MTCH1	orf6
MTCH1	orf7b	MTCH1	orf7b
PPP2R1A	orf7a	PPP2R1A	orf7a
PPP2R1A	orf14	PPP2R1A	orf14
PSMD13	orf7a	PSMD13	orf7a
PSMD13	orf8	PSMD13	orf8
QPCTL	orf7a	QPCTL	orf7a
QPCTL	orf14	QPCTL	orf14
QPCTL	orf7b	QPCTL	orf7b
MDN1	orf7a	MDN1	orf7a
HEATR3	orf7a	HEATR3	orf7a
ATM	orf7a	ATM	orf7a
INTS2	orf7a	INTS2	orf7a
INTS5	orf7a	INTS5	orf7a
IPO11	orf7a	IPO11	orf7a
NDUFA12	orf7a	NDUFA12	orf7a
ATP13A1	orf7a	ATP13A1	orf7a
XPO5	orf7a	XPO5	orf7a
DOCK5	orf7a	DOCK5	orf7a
TUT1	orf7a	TUT1	orf7a
TMEM168	orf7a	TMEM168	orf7a
FANCD2	orf7a	FANCD2	orf7a
AGMAT	orf7a	AGMAT	orf7a
ELMO2	orf7a	ELMO2	orf7a
COG3	orf7a	COG3	orf7a
COG1	orf7a	COG1	orf7a
COG1	nsp6	COG1	nsp6
NUBPL	orf7a	NUBPL	orf7a
DYNC2H1	orf7a	DYNC2H1	orf7a
SCAI	orf7a	SCAI	orf7a
INTS1	orf7a	INTS1	orf7a
STK11IP	orf7a	STK11IP	orf7a
NUP93	orf7a	NUP93	orf7a
NCAPG2	orf7a	NCAPG2	orf7a
INTS8	orf7a	INTS8	orf7a
USP34	orf7a	USP34	orf7a
THADA	orf7a	THADA	orf7a
RNF213	orf7a	RNF213	orf7a
RIF1	orf7a	RIF1	orf7a
NUP188	orf7a	NUP188	orf7a
FASTKD1	orf7a	FASTKD1	orf7a
PDS5A	orf7a	PDS5A	orf7a
COG2	orf7a	COG2	orf7a
COG2	nsp6	COG2	nsp6
ATR	orf7a	ATR	orf7a
PFKP	orf7a	PFKP	orf7a
COG7	orf7a	COG7	orf7a
COG7	nsp6	COG7	nsp6
NF1	orf7a	NF1	orf7a
OAT	orf7a	OAT	orf7a
TBC1D8	orf7a	TBC1D8	orf7a
FAM20B	orf7a	FAM20B	orf7a
RANBP6	orf7a	RANBP6	orf7a
TTI1	orf7a	TTI1	orf7a
BTAF1	orf7a	BTAF1	orf7a
EIF3A	orf8	EIF3A	orf8
