Gene	mean_expression	Log2_mean_expression	zscore
RPS19BP1	145.3803	7.193577597189791	0.34004296276039636
RPS2	2845.142	11.474791927406738	2.3565587155462038
RPS20	5263.371999999999	12.362045723505906	2.77446847631782
RPS21	1259.122	10.299347701144802	1.8029069672446403
RPS23	2977.3225	11.540284265566498	2.3874065828566073
RPS24	2945.4975	11.524785326775879	2.3801063517043954
RPS25	2098.0505	11.03552116078389	2.149655637982137
RPS26	245.83960000000002	7.947430051606823	0.6951187035096702
RPS26P11	1.2090305	1.1434133380661968	-2.5096745693319913
RPS27	9958.258	13.281822545068232	3.207697066775636
RPS27A	4769.8295	12.220024412841394	2.7075743224407436
RPS27L	2237.2754999999997	11.12817190722383	2.193295520336272
RPS28	2969.013	11.536253530501085	2.3855080465704552
RPS29	3513.8405000000002	11.779243507365297	2.499959946971086
RPS2P32	4.336018	2.4157635331767215	-1.9103786655059256
RPS3	1761.4735	10.783385850425434	2.0308961492121362
RPS3A	4457.163	12.122233650248683	2.6615134158766134
RPS4X	873.4303	9.772199582667394	1.5546123473144053
RPS4Y1	225.74225	7.824909430373529	0.6374096649749139
RPS5	3166.4205	11.629092693863969	2.4292366761032875
RPS6	9676.241	13.240380075656471	3.1881770460625116
RPS6KA1	250.6318	7.9751704442784055	0.7081848418751082
RPS6KA2	80.339995	6.345892997004405	-0.059229117033176786
RPS6KA3	199.45685	7.6471479077980895	0.5536813386487712
RPS6KA4	18.553105000000002	4.289325818144246	-1.0279029074489971
RPS6KA5	30.85223	4.993322475134051	-0.6963099902925813
RPS6KA6	10.3811725	3.508577288102977	-1.3956471006514903
RPS6KB1	16.530735	4.1318145792121825	-1.102093048387636
RPS6KB2	147.73785	7.216628013081588	0.35090005216748466
RPS6KC1	53.82381	5.776730687135417	-0.3273130472494462
RPS6KL1	6.149564	2.837855265077465	-1.7115671693163945
RPS7	1926.3685	10.912416716335667	2.0916716100123884
RPS8	1685.013	10.719399944882312	2.000757834114646
RPS9	915.48255	9.839963601616667	1.5865302101316963
RPSA	10.589991	3.534807540933179	-1.3832922606570683
RPSAP58	3.1269875000000003	2.045089068653811	-2.084971862485161
RPSAP9	1.8135455	1.4923892945110127	-2.345301693032008
RPTOR	71.79435000000001	6.185754573562636	-0.13465670102901203
RPUSD1	28.725450000000002	4.893626745324377	-0.7432681648057688
RPUSD2	0.604515	0.682137276889561	-2.7269424685774233
RPUSD3	383.00405	8.584977716565177	0.9954131551250328
RPUSD4	39.232985	5.330306874484994	-0.5375853160948744
RRAD	2.418061	1.7731781441211938	-2.2130459602486314
RRAGA	413.4001	8.694880540939845	1.047179023295417
RRAGB	4.9405335	2.5705925005954264	-1.8374519144241694
RRAGC	240.51995	7.915998553068978	0.6803139992723994
RRAGD	0.604515	0.682137276889561	-2.7269424685774233
RRAS	206.45825	7.69667721983281	0.5770103827561229
RRAS2	291.82125	8.1938764433871	0.8111986268469749
RRBP1	324.15725	8.3449937815444	0.8823771452319236
RREB1	128.4539	7.0162946190985345	0.2565400380180874
RRM1	51.21888	5.706499609685306	-0.3603929313873871
RRM2	119.61689999999999	6.914288251556877	0.20849351869753088
RRM2B	135.6861	7.094722728397698	0.29348084631790344
RRN3	71.294245	6.175808900564155	-0.13934126123239646
RRN3P1	32.79214	5.07861581175861	-0.6561355576095138
RRN3P3	46.091475	5.5573940063517036	-0.4306238926893419
RRNAD1	20.86675	4.450666907074702	-0.9519088500845783
RRP1	12.903645000000001	3.797391246473525	-1.2596114220431918
RRP12	5.5450485	2.710403882842821	-1.7715986697662824
RRP15	22.075779999999998	4.528307509090509	-0.915338969451502
RRP1B	60.621795	5.945368802579149	-0.24788198164914826
RRP36	60.473475	5.941892135571239	-0.2495195436228994
RRP7A	51.510155	5.714524549121431	-0.35661306531670656
RRP7BP	3.022576	2.008119678571424	-2.1023849961715184
RRP8	10.48558	3.521751806805279	-1.38944170600188
RRP9	61.622	5.968597680400117	-0.23694083401378935
RRS1	32.957055	5.085639438315105	-0.6528273248277789
RRS1-AS1	1.8135455	1.4923892945110127	-2.345301693032008
RS1	1.2090305	1.1434133380661968	-2.5096745693319913
RSAD1	29.538784999999997	4.932570759859597	-0.7249249535741529
RSAD2	121.88665	6.941184384371156	0.22116199808811193
RSBN1	84.69799499999999	6.421189546163358	-0.023763320229272078
RSBN1L	38.315235	5.297016572760067	-0.5532655443351423
RSC1A1	13.612565	3.8691375370929917	-1.2258178499211505
RSF1	93.05678	6.555460037783354	0.039480082366807834
RSG1	1.2090305	1.1434133380661968	-2.5096745693319913
RSL1D1	116.15475	6.8722716387476055	0.18870306788767766
RSL24D1	298.20165	8.224974321017164	0.8258461906647039
RSPH1	76.547995	6.277017575814097	-0.09167046686930536
RSPH3	6.149564	2.837855265077465	-1.7115671693163945
RSPO1	1.2090305	1.1434133380661968	-2.5096745693319913
RSPRY1	330.5322	8.373005188390984	0.8955709353127316
RSRC1	17.6353525	4.219970203741735	-1.0605704354444283
RSRC2	178.91989999999998	7.491210954149245	0.4802327095402184
RSRP1	143.56675	7.175591963874728	0.33157146142777894
RSU1	616.8797	9.271182165270305	1.3186256770207707
RTCA	398.93025	8.643604597890665	1.0230272899500834
RTCA-AS1	8.567622499999999	3.2581604677005243	-1.5135971550414304
RTCB	519.77815	9.024525109192389	1.2024465276597327
RTEL1	0.604515	0.682137276889561	-2.7269424685774233
RTF1	180.62905	7.504851157487057	0.48665744859328647
RTFDC1	427.93575	8.744617753354433	1.070605991580041
RTKN	81.75787500000001	6.370824696026303	-0.04748591523490951
RTKN2	6.04515	2.816630423632479	-1.721564385952364
RTN1	1.8135455	1.4923892945110127	-2.345301693032008
RTN2	15.634936	4.056144410602568	-1.137734825520881
RTN3	776.8507999999999	9.60334964737385	1.4750815114080795
RTN4	2181.6005	11.091832370367174	2.1761790569059825
RTN4IP1	19.866545000000002	4.383119839419546	-0.9837245256090988
RTN4R	19.55331	4.361298845779472	-0.9940025388134549
RTP1	1.8135455	1.4923892945110127	-2.345301693032008
RTP4	29.434375	4.9276298338373445	-0.7272522033656194
RTTN	9.985475999999998	3.4575254778903743	-1.4196932640905273
