"source_genesymbol" "target_genesymbol" "from" "to" "consensus_stimulation" "consensus_inhibition"
"310" "ARNT" "SORL1" "A8K6P0" "A0A024R3H2" 1 0
"311" "ARNT" "SOX5" "A8K6P0" "P35711" 1 0
"312" "ARNT" "SPAG9" "A8K6P0" "O60271" 1 0
"313" "ARNT" "SPOCK1" "A8K6P0" "Q08629" 1 0
"314" "ARNT" "TBC1D5" "A8K6P0" "Q92609" 1 0
"315" "ARNT" "TCF12" "A8K6P0" "F5GY10" 1 0
"316" "ARNT" "TCF4" "A8K6P0" "B3KVA4" 1 0
"317" "ARNT" "TENM2" "A8K6P0" "F8VNQ3" 1 0
"318" "ARNT" "TFRC" "A8K6P0" "P02786" 1 0
"319" "ARNT" "THSD7A" "A8K6P0" "Q9UPZ6" 1 0
"320" "ARNT" "TRIO" "A8K6P0" "O75962" 1 0
"321" "ARNT" "TTLL5" "A8K6P0" "Q6EMB2" 1 0
"322" "ARNT" "UVRAG" "A8K6P0" "Q9P2Y5" 1 0
"323" "ARNT" "VGLL4" "A8K6P0" "G5E9M7" 1 0
"324" "ARNT" "VPS13B" "A8K6P0" "Q7Z7G8" 1 0
"325" "ARNT" "VPS13D" "A8K6P0" "Q5THJ4" 1 0
"326" "ARNT" "WSCD1" "A8K6P0" "Q658N2" 1 0
"327" "ARNTL" "AVP" "A0A140VKD3" "P01185" 1 0
"328" "ARNTL" "BHLHE40" "A0A140VKD3" "O14503" 1 0
"329" "ARNTL" "CRY1" "A0A140VKD3" "A2I2P0" 1 0
"330" "ARNTL" "CRY2" "A0A140VKD3" "Q49AN0" 1 0
"331" "ARNTL" "DBP" "A0A140VKD3" "Q10586" 1 0
"332" "ARNTL" "NR1D1" "A0A140VKD3" "F1D8S3" 1 0
"333" "ARNTL" "NR1D2" "A0A140VKD3" "B4DXD3" 1 0
"334" "ARNTL" "PER1" "A0A140VKD3" "O15534" 1 0
"335" "ARNTL" "PER2" "A0A140VKD3" "O15055" 1 0
"336" "ARNTL" "PER3" "A0A140VKD3" "A0A087WV69" 1 0
"337" "ASCL1" "PCSK6" "P50553" "A2RQD9" 0 1
"338" "ASCL1" "ADCY5" "P50553" "O95622" 1 0
"339" "ASCL1" "ADGRG1" "P50553" "A0A0S2Z517" 1 0
"340" "ASCL1" "AGBL4" "P50553" "Q5VU57" 1 0
"341" "ASCL1" "ANK1" "P50553" "P16157" 1 0
"342" "ASCL1" "ARHGEF10L" "P50553" "Q9HCE6" 1 0
"343" "ASCL1" "ATP11A" "P50553" "P98196" 1 0
"344" "ASCL1" "BAHCC1" "P50553" "A0A075B747" 1 0
"345" "ASCL1" "CCDC57" "P50553" "Q2TAC2" 1 0
"346" "ASCL1" "CCDC88B" "P50553" "A6NC98" 1 0
"347" "ASCL1" "CCDC88C" "P50553" "B4DZB8" 1 0
"348" "ASCL1" "CCNY" "P50553" "Q8ND76" 1 0
"349" "ASCL1" "CHRNB4" "P50553" "P30926" 1 0
"350" "ASCL1" "CPLX2" "P50553" "Q6PUV4" 1 0
"351" "ASCL1" "DLGAP4" "P50553" "A0A0B4J2C2" 1 0
"352" "ASCL1" "FAM13A" "P50553" "O94988" 1 0
"353" "ASCL1" "FARP1" "P50553" "Q9Y4F1" 1 0
"354" "ASCL1" "FHL2" "P50553" "Q14192" 1 0
"355" "ASCL1" "GOLM1" "P50553" "B3KNK9" 1 0
"356" "ASCL1" "HPCAL1" "P50553" "O75544" 1 0
"357" "ASCL1" "IQSEC1" "P50553" "A0A087WWK8" 1 0
"358" "ASCL1" "KALRN" "P50553" "J3QSW6" 1 0
"359" "ASCL1" "LFNG" "P50553" "Q8NES3" 1 0
"360" "ASCL1" "LGR6" "P50553" "Q9HBX8" 1 0
"361" "ASCL1" "MPRIP" "P50553" "Q6WCQ1" 1 0
"362" "ASCL1" "MYO7A" "P50553" "Q13402" 1 0
"363" "ASCL1" "NCOR2" "P50553" "C9JE98" 1 0
"364" "ASCL1" "NOL4L" "P50553" "A0A087X0N3" 1 0
"365" "ASCL1" "PGS1" "P50553" "A0A024R8V5" 1 0
"366" "ASCL1" "PKP1" "P50553" "Q13835" 1 0
"367" "ASCL1" "PLA2G6" "P50553" "O60733" 1 0
"368" "ASCL1" "PLXNA2" "P50553" "O75051" 1 0
"369" "ASCL1" "PPM1H" "P50553" "Q9ULR3" 1 0
"370" "ASCL1" "PTPRD" "P50553" "Q59H90" 1 0
"371" "ASCL1" "PTPRT" "P50553" "O14522" 1 0
"372" "ASCL1" "RBFOX3" "P50553" "A6NFN3" 1 0
"373" "ASCL1" "RNF165" "P50553" "Q6ZSG1" 1 0
"374" "ASCL1" "RUNX1" "P50553" "Q01196" 1 0
"375" "ASCL1" "SMPD3" "P50553" "A8K0T6" 1 0
"376" "ASCL1" "SPOCK1" "P50553" "Q08629" 1 0
"377" "ASCL1" "ST18" "P50553" "O60284" 1 0
"378" "ASCL1" "TACC2" "P50553" "B2RWP4" 1 0
"379" "ASCL1" "TCF20" "P50553" "Q9UGU0" 1 0
"380" "ASCL1" "TIAM1" "P50553" "Q13009" 1 0
"381" "ASCL1" "TMEM132D" "P50553" "Q14C87" 1 0
"382" "ASCL1" "TMEM163" "P50553" "Q8TC26" 1 0
"383" "ASCL1" "TNR" "P50553" "A1L306" 1 0
"384" "ASCL1" "TP73" "P50553" "O15350" 1 0
"385" "ASCL1" "TRIO" "P50553" "O75962" 1 0
"386" "ASCL1" "VAV2" "P50553" "P52735" 1 0
"387" "ASCL1" "WSCD1" "P50553" "Q658N2" 1 0
"388" "ASCL1" "ZDHHC14" "P50553" "Q8IZN3" 1 0
"389" "ATF1" "BCL2" "P18846" "A0A024R2B3" 1 0
"390" "ATF1" "CCNA1" "P18846" "A0A140VJG0" 0 1
"391" "ATF1" "CFTR" "P18846" "A0A024R730" 1 0
"392" "ATF1" "CGA" "P18846" "P01215" 1 0
"393" "ATF1" "CIITA" "P18846" "A0A0B4J1S1" 1 0
"394" "ATF1" "CYP11B1" "P18846" "P15538" 1 0
"395" "ATF1" "CYP11B2" "P18846" "P19099" 1 0
"396" "ATF1" "ERBB2" "P18846" "P04626" 1 0
"397" "ATF1" "FLT1" "P18846" "P17948" 1 0
"398" "ATF1" "IL10" "P18846" "P22301" 1 0
"399" "ATF1" "LDHA" "P18846" "P00338" 1 0
"400" "ATF1" "MAP1LC3B" "P18846" "Q658J6" 1 0
"401" "ATF1" "NTS" "P18846" "P30990" 1 0
