ligand	ligand_lfc	receptor	receptor_expression	ligand_cell_source	receptor_cell_target
CXCL6	1.1442700000000001	CCR6	6.166315252925824	ciliated_cells	Resident_macrophage
CXCL6	1.1442700000000001	CX3CR1	5.394359924951369	ciliated_cells	Resident_macrophage
CXCL6	1.1442700000000001	CCR1	3.5816290663234485	ciliated_cells	Resident_macrophage
CXCL6	1.1442700000000001	CXCR4	6.903179765651937	ciliated_cells	Resident_macrophage
CXCL6	1.1442700000000001	CXCR3	4.017521992172664	ciliated_cells	Resident_macrophage
CXCL6	1.1442700000000001	CXCR2	1.5626711812214837	ciliated_cells	Resident_macrophage
CXCL6	1.1442700000000001	CCR5	4.606991699323063	ciliated_cells	Resident_macrophage
LCN2	1.63619	NR3C1	3.4998771099588883	ciliated_cells	Resident_macrophage
SAA1	1.71155	TLR2	3.9183931545868482	ciliated_cells	Resident_macrophage
S100A4	1.72412	AKT1	3.9122628191747717	ciliated_cells	Resident_macrophage
CXCL1	1.8271400000000002	CCR6	6.166315252925824	ciliated_cells	Resident_macrophage
CXCL1	1.8271400000000002	CX3CR1	5.394359924951369	ciliated_cells	Resident_macrophage
CXCL1	1.8271400000000002	CCR1	3.5816290663234485	ciliated_cells	Resident_macrophage
CXCL1	1.8271400000000002	CXCR4	6.903179765651937	ciliated_cells	Resident_macrophage
CXCL1	1.8271400000000002	CXCR3	4.017521992172664	ciliated_cells	Resident_macrophage
CXCL1	1.8271400000000002	CXCR2	1.5626711812214837	ciliated_cells	Resident_macrophage
CXCL1	1.8271400000000002	CCR5	4.606991699323063	ciliated_cells	Resident_macrophage
HSPA1A	-1.59207	NR3C1	6.970479046229974	ciliated_cells	Tcell_cyto
HSPA1A	-1.59207	NOD2	2.4557320662434097	ciliated_cells	Tcell_cyto
EGFR	-0.85146	CD33	3.156056258799891	ciliated_cells	Tcell_cyto
EGFR	-0.85146	ITGA5	4.046835916907603	ciliated_cells	Tcell_cyto
EGFR	-0.85146	ITGA6	3.3293262800284005	ciliated_cells	Tcell_cyto
EGFR	-0.85146	IL6ST	3.9869105459689735	ciliated_cells	Tcell_cyto
EGFR	-0.85146	RIPK1	4.871659963572541	ciliated_cells	Tcell_cyto
EGFR	-0.85146	CD5	5.265045531070438	ciliated_cells	Tcell_cyto
EGFR	-0.85146	GPRC5A	2.8853712946249734	ciliated_cells	Tcell_cyto
EGFR	-0.85146	AKT1	5.655494153421944	ciliated_cells	Tcell_cyto
EGFR	-0.85146	ITGB4	2.503419557437922	ciliated_cells	Tcell_cyto
EGFR	-0.85146	IFNAR2	6.781934742371531	ciliated_cells	Tcell_cyto
EGFR	-0.85146	EZR	7.740750489539595	ciliated_cells	Tcell_cyto
EGFR	-0.85146	PTPRE	6.450698626075341	ciliated_cells	Tcell_cyto
FGFR3	-0.74558	ITGB4	2.503419557437922	ciliated_cells	Tcell_cyto
PLAT	-0.60197	LRP1	2.4661588069930933	ciliated_cells	Tcell_cyto
PLAT	-0.60197	ITGAM	2.4616768749185365	ciliated_cells	Tcell_cyto
TNC	-0.59386	ITGA1	10.338699535136053	ciliated_cells	Tcell_cyto
TNC	-0.59386	ITGA4	7.786840283555708	ciliated_cells	Tcell_cyto
TNC	-0.59386	ITGA5	4.046835916907603	ciliated_cells	Tcell_cyto
TNC	-0.59386	ITGA6	3.3293262800284005	ciliated_cells	Tcell_cyto
TNC	-0.59386	ITGA7	2.4616768749185365	ciliated_cells	Tcell_cyto
TNC	-0.59386	ITGB1	5.283083397151004	ciliated_cells	Tcell_cyto
TNC	-0.59386	ITGB4	2.503419557437922	ciliated_cells	Tcell_cyto
TNC	-0.59386	ITGB7	6.181549189458066	ciliated_cells	Tcell_cyto
TNC	-0.59386	ITGAV	4.616123888131056	ciliated_cells	Tcell_cyto
SLPI	0.50459	PLSCR1	6.320771490780894	ciliated_cells	Tcell_cyto
HLA-A	0.52596	APLP2	6.3639284126446825	ciliated_cells	Tcell_cyto
HLA-A	0.52596	KIR3DL2	2.4616768749185365	ciliated_cells	Tcell_cyto
HLA-A	0.52596	KLRC1	8.472186320058569	ciliated_cells	Tcell_cyto
HLA-A	0.52596	KLRC3	5.510345516281359	ciliated_cells	Tcell_cyto
HLA-A	0.52596	KLRC2	6.673834700816559	ciliated_cells	Tcell_cyto
HLA-A	0.52596	KLRC4	6.913236573314554	ciliated_cells	Tcell_cyto
HLA-A	0.52596	IL2RA	4.279594126471105	ciliated_cells	Tcell_cyto
HLA-A	0.52596	IL2RB	8.29014404864145	ciliated_cells	Tcell_cyto
HLA-A	0.52596	IL2RG	8.18574316817249	ciliated_cells	Tcell_cyto
HLA-A	0.52596	CD3D	10.290710906388592	ciliated_cells	Tcell_cyto
HLA-A	0.52596	CD3G	9.75466034080708	ciliated_cells	Tcell_cyto
HLA-DMA	0.53127	CD74	8.26967737057004	ciliated_cells	Tcell_cyto
HLA-F	0.55971	KLRC1	8.472186320058569	ciliated_cells	Tcell_cyto
HLA-F	0.55971	KLRC3	5.510345516281359	ciliated_cells	Tcell_cyto
HLA-F	0.55971	KLRC2	6.673834700816559	ciliated_cells	Tcell_cyto
HLA-F	0.55971	KIR3DL2	2.4616768749185365	ciliated_cells	Tcell_cyto
HLA-F	0.55971	KLRC4	6.913236573314554	ciliated_cells	Tcell_cyto
B2M	0.60196	KLRC1	8.472186320058569	ciliated_cells	Tcell_cyto
B2M	0.60196	IL2RA	4.279594126471105	ciliated_cells	Tcell_cyto
B2M	0.60196	IL2RB	8.29014404864145	ciliated_cells	Tcell_cyto
B2M	0.60196	KLRC2	6.673834700816559	ciliated_cells	Tcell_cyto
B2M	0.60196	CD3D	10.290710906388592	ciliated_cells	Tcell_cyto
B2M	0.60196	IL2RG	8.18574316817249	ciliated_cells	Tcell_cyto
B2M	0.60196	PDIA3	7.595883297102929	ciliated_cells	Tcell_cyto
B2M	0.60196	CD247	6.307624833578602	ciliated_cells	Tcell_cyto
B2M	0.60196	CD3G	9.75466034080708	ciliated_cells	Tcell_cyto
HLA-B	0.6193	KLRC1	8.472186320058569	ciliated_cells	Tcell_cyto
