source_genesymbol	target_genesymbol	from	to	consensus_stimulation	consensus_inhibition
ARID2	BAZ2A	Q68CP9	F8VU39	1	0
ARID2	BBX	Q68CP9	A8K6U2	1	0
ARID2	CACUL1	Q68CP9	Q86Y37	1	0
ARID2	CDK17	Q68CP9	Q00537	1	0
ARID2	CHD2	Q68CP9	O14647	1	0
ARID2	CHD9	Q68CP9	Q3L8U1	1	0
ARID2	CPSF6	Q68CP9	Q16630	1	0
ARID2	FOXJ3	Q68CP9	Q9UPW0	1	0
ARID2	HNRNPH1	Q68CP9	P31943	1	0
ARID2	HNRNPL	Q68CP9	P14866	1	0
ARID2	JMJD1C	Q68CP9	B7ZLC8	1	0
ARID2	LRP6	Q68CP9	O75581	1	0
ARID2	MAP4K5	Q68CP9	B3KWC4	1	0
ARID2	MLLT10	Q68CP9	P55197	1	0
ARID2	MSI2	Q68CP9	B4DHE8	1	0
ARID2	NCOA2	Q68CP9	Q15596	1	0
ARID2	NFAT5	Q68CP9	O94916	1	0
ARID2	PAWR	Q68CP9	Q96IZ0	1	0
ARID2	RBPJ	Q68CP9	Q06330	1	0
ARID2	RCOR3	Q68CP9	Q9P2K3	1	0
ARID2	SIAH1	Q68CP9	Q8IUQ4	1	0
ARID2	SOS1	Q68CP9	Q07889	1	0
ARID2	TIAL1	Q68CP9	Q01085	1	0
ARID2	TNPO1	Q68CP9	A0A024RAM0	1	0
ARID2	USP3	Q68CP9	Q9Y6I4	1	0
ARID2	WAC	Q68CP9	Q9BTA9	1	0
ARID2	ZCCHC2	Q68CP9	Q9BRD4	1	0
ARID2	ZNF131	Q68CP9	P52739	1	0
ARID3A	ACKR2	Q99856	A0A024R2X7	1	0
ARID3A	BAZ2A	Q99856	F8VU39	1	0
ARID3A	BCAT1	Q99856	P54687	1	0
ARID3A	CCR7	Q99856	P32248	1	0
ARID3A	CIC	Q99856	Q96RK0	1	0
ARID3A	CYTH1	Q99856	Q15438	1	0
ARID3A	DDIT4	Q99856	A0A024QZQ6	1	0
ARID3A	DENND3	Q99856	A2RUS2	1	0
ARID3A	ERN1	Q99856	O75460	1	0
ARID3A	FOXK1	Q99856	P85037	1	0
ARID3A	GAB2	Q99856	Q9UQC2	1	0
ARID3A	GRK6	Q99856	P43250	1	0
ARID3A	KCNAB2	Q99856	A0A024R4E3	1	0
ARID3A	MKNK2	Q99856	Q9HBH9	1	0
ARID3A	MNT	Q99856	Q99583	1	0
ARID3A	PLIN2	Q99856	Q6FHZ7	1	0
ARID3A	PTK2B	Q99856	Q14289	1	0
ARID3A	SEC14L1	Q99856	A5PLM6	1	0
ARID3A	ST3GAL1	Q99856	A0A024R9L6	1	0
ARID3A	STK10	Q99856	O94804	1	0
ARID3A	TGIF1	Q99856	Q15583	1	0
ARID3A	ZBTB7B	Q99856	O15156	1	0
ARID3A	ZC3H3	Q99856	Q8IXZ2	1	0
ARNT	CYP1B1	A8K6P0	Q16678	1	0
ARNT	LDHA	A8K6P0	P00338	1	0
ARNT	UGT1A6	A8K6P0	P19224	1	0
ARNT	VEGFA	A8K6P0	A0A087WUD8	1	0
ARNT	ANGPT1	A8K6P0	Q15389	1	0
ARNT	ESR1	A8K6P0	G4XH65	1	0
ARNT	AFF1	A8K6P0	P51825	1	0
ARNT	ALDOA	A8K6P0	P04075	1	0
ARNT	ANK3	A8K6P0	Q12955	1	0
ARNT	ARID1B	A8K6P0	Q8NFD5	1	0
ARNT	ARID5B	A8K6P0	Q14865	1	0
