all_nodes	bindingprot_layer	cov_layer	deg_layer	gene_symbol	log2FoldChange	Matching.Attribute	name	node_source	padj	ppi_layer	selected	node	tf_layer
protein	NA	NA	NA	TMSB4X	-1.021263291	P62328	P62328	viralprotein	7.75E-30	protein	FALSE	P62328	NA
protein	NA	NA	NA	ARHGEF1		Q92888	Q92888	viralprotein		protein	FALSE	Q92888	NA
protein	NA	NA	NA	DAPK1		P53355	P53355	viralmirna;viralprotein		protein	FALSE	P53355	NA
bindingprot	bindingprot	NA	NA	PIKFYVE		Q9Y2I7	Q9Y2I7	viralmirna		NA;protein	FALSE	Q9Y2I7	NA
protein	NA	NA	NA	NET1		Q7Z628	Q7Z628	viralprotein		protein	FALSE	Q7Z628	NA
protein	NA	NA	NA	EREG		O14944	O14944	viralprotein		protein	FALSE	O14944	NA
protein	NA	NA	NA	TLN1	-0.396231082	Q9Y490	Q9Y490	viralprotein	4.32E-08	protein	FALSE	Q9Y490	NA
protein	NA	NA	NA	LDLRAP1		Q5SW96	Q5SW96	viralprotein		protein	FALSE	Q5SW96	NA
protein	NA	NA	NA	DNMT3A		Q9Y6K1	Q9Y6K1	viralprotein		protein	FALSE	Q9Y6K1	NA
protein	NA	NA	NA	HMGN1	-0.265284925	P05114	P05114	viralmirna;viralprotein	1	protein	FALSE	P05114	NA
protein	NA	NA	NA	ZNF274		Q96GC6	Q96GC6	viralprotein		protein	FALSE	Q96GC6	NA
protein	NA	NA	NA	TCF3		P15923	P15923	viralprotein		protein	FALSE	P15923	NA
protein	NA	NA	NA	LRRFIP1		Q32MZ4	Q32MZ4	viralmirna;viralprotein		protein	FALSE	Q32MZ4	NA
protein	NA	NA	NA	TRIO	0.376003251	O75962	O75962	viralprotein	5.60E-04	protein	FALSE	O75962	NA
protein	NA	NA	NA	PRDX3	-0.345272716	P30048	P30048	viralprotein	1.42E-07	protein	FALSE	P30048	NA
protein	NA	NA	NA	RIN1		Q13671	Q13671	viralmirna;viralprotein		protein	FALSE	Q13671	NA
protein	NA	NA	NA	TLR2		O60603	O60603	viralprotein		protein	FALSE	O60603	NA
protein	NA	NA	NA	PHGDH		O43175	O43175	viralmirna;viralprotein		protein	FALSE	O43175	NA
protein	NA	NA	NA	ACTN1		P12814	P12814	viralprotein		protein	FALSE	P12814	NA
protein;tf	NA	NA	NA	JUNB	0.863619099	P17275	P17275	viralmirna	9.40E-27	NA;protein	FALSE	P17275	tf
protein	NA	NA	NA	HDAC7		Q8WUI4	Q8WUI4	viralmirna;viralprotein		protein	FALSE	Q8WUI4	NA
protein	NA	NA	NA	LITAF		Q99732	Q99732	viralprotein		protein	FALSE	Q99732	NA
protein	NA	NA	NA	PPP3CA		Q08209	Q08209	viralmirna;viralprotein		protein	FALSE	Q08209	NA
protein	NA	NA	NA	CSF1	0.814852159	P09603	P09603	viralprotein	1.70E-22	protein	FALSE	P09603	NA
protein	NA	NA	NA	ADCY4		Q8NFM4	Q8NFM4	viralprotein		protein	FALSE	Q8NFM4	NA
protein	NA	NA	NA	LFNG		Q8NES3	Q8NES3	viralmirna;viralprotein		protein	FALSE	Q8NES3	NA
protein	NA	NA	NA	RRAGC		Q9HB90	Q9HB90	viralprotein		protein	FALSE	Q9HB90	NA
protein	NA	NA	NA	CBLB		Q13191	Q13191	viralmirna;viralprotein		protein	FALSE	Q13191	NA
protein	NA	NA	NA	GTF2I		P78347	P78347	viralprotein		protein	FALSE	P78347	NA
protein	NA	NA	NA	MST1R		Q04912	Q04912	viralmirna;viralprotein		protein	FALSE	Q04912	NA
protein	NA	NA	NA	CFLAR	0.760945788	O15519	O15519	viralprotein	2.46E-12	protein	FALSE	O15519	NA
protein	NA	NA	NA	FOXM1		Q08050	Q08050	viralmirna;viralprotein		protein	FALSE	Q08050	NA
protein	NA	NA	NA	TTC5		Q8N0Z6	Q8N0Z6	viralprotein		protein	FALSE	Q8N0Z6	NA
protein	NA	NA	NA	CAMK1		Q14012	Q14012	viralprotein		protein	FALSE	Q14012	NA
protein	NA	NA	NA	CDS1	-0.334890579	Q92903	Q92903	viralprotein	1.30E-05	protein	FALSE	Q92903	NA
protein	NA	NA	NA	IRAK3		Q9Y616	Q9Y616	viralprotein		protein	FALSE	Q9Y616	NA
protein	NA	NA	NA	CDK7		P50613	P50613	viralmirna;viralprotein		protein	FALSE	P50613	NA
protein	NA	NA	NA	CAPN2	-0.359116863	P17655	P17655	viralmirna;viralprotein	5.96E-05	protein	FALSE	P17655	NA
protein	NA	NA	NA	CDC34		P49427	P49427	viralprotein		protein	FALSE	P49427	NA
protein	NA	NA	NA	PTAFR		P25105	P25105	viralmirna;viralprotein		protein	FALSE	P25105	NA
protein	NA	NA	NA	CSNK1D		P48730	P48730	viralprotein		protein	FALSE	P48730	NA
protein	NA	NA	NA	LATS1	0.28771811	O95835	O95835	viralmirna;viralprotein	1.18E-06	protein	FALSE	O95835	NA
protein	NA	NA	NA	VIL1	-0.778651467	P09327	P09327	viralmirna;viralprotein	1.87E-11	protein	FALSE	P09327	NA
protein	NA	NA	NA	ETV1		P50549	P50549	viralmirna;viralprotein		protein	FALSE	P50549	NA
protein	NA	NA	NA	HDAC8		Q9BY41	Q9BY41	viralmirna;viralprotein		protein	FALSE	Q9BY41	NA
protein	NA	NA	NA	TSC2		P49815	P49815	viralmirna;viralprotein		protein	FALSE	P49815	NA
protein	NA	NA	NA	ARRB1		P49407	P49407	viralprotein		protein	FALSE	P49407	NA
protein	NA	NA	NA	ZNF420		Q8TAQ5	Q8TAQ5	viralprotein		protein	FALSE	Q8TAQ5	NA
protein	NA	NA	NA	EPN1		Q9Y6I3	Q9Y6I3	viralprotein		protein	FALSE	Q9Y6I3	NA
deg	NA	NA	deg	CCL5	1.213878991	D0EI67	D0EI67	viralmirna;viralprotein	3.36E-04	NA	FALSE	D0EI67	NA
deg	NA	NA	deg	ANXA1	-0.762959857	P04083	P04083	viralmirna;viralprotein	0.011490554	NA	FALSE	P04083	NA
deg	NA	NA	deg	CXCL8	0.855640943	A0A024RDA5	A0A024RDA5	viralmirna;viralprotein	6.73E-04	NA	FALSE	A0A024RDA5	NA
deg	NA	NA	deg	CFLAR	0.760945788	A0A024R3Z7	A0A024R3Z7	viralmirna;viralprotein	2.46E-12	NA	FALSE	A0A024R3Z7	NA
deg	NA	NA	deg	DSC2	-0.544987205	Q02487	Q02487	viralmirna;viralprotein	2.49E-11	NA	FALSE	Q02487	NA
deg	NA	NA	deg	RTN4	-0.637018425	Q9NQC3	Q9NQC3	viralmirna;viralprotein	5.03E-22	NA	FALSE	Q9NQC3	NA
deg	NA	NA	deg	CALM3	-0.468963587	B4DJ51	B4DJ51	viralmirna;viralprotein	2.41E-09	NA	FALSE	B4DJ51	NA
deg	NA	NA	deg	CALR	-0.890450865	P27797	P27797	viralmirna;viralprotein	6.45E-26	NA	FALSE	P27797	NA
deg	NA	NA	deg	TIMP2	-0.589935798	A0A140VK57	A0A140VK57	viralmirna;viralprotein	1.65E-13	NA	FALSE	A0A140VK57	NA
deg	NA	NA	deg	CDH1	-0.516987813	B3GN61	B3GN61	viralmirna;viralprotein	3.12E-12	NA	FALSE	B3GN61	NA
deg	NA	NA	deg	TNFSF10	0.89167405	P50591	P50591	viralmirna;viralprotein	4.06E-15	NA	FALSE	P50591	NA
deg	NA	NA	deg	HSP90B1	-0.82430819	P14625	P14625	viralmirna;viralprotein	1.24E-18	NA	FALSE	P14625	NA
deg	NA	NA	deg	MDK	-0.757621132	P21741	P21741	viralmirna;viralprotein	2.25E-04	NA	FALSE	P21741	NA
deg	NA	NA	deg	CXCL10	1.956666305	A0A024RDA4	A0A024RDA4	viralmirna;viralprotein	5.17E-38	NA	FALSE	A0A024RDA4	NA
deg	NA	NA	deg	BST2	0.698243538	A0A024R7H5	A0A024R7H5	viralmirna;viralprotein	4.79E-14	NA	FALSE	A0A024R7H5	NA
deg	NA	NA	deg	IFNL1	0.823328382	Q8IU54	Q8IU54	viralmirna;viralprotein	1.82E-07	NA	FALSE	Q8IU54	NA
