,B.cell_control,CTL_control,MC_control,MoD.Ma_control,moDC_control,NKT_control,NKT.p_control,nrMa_control,pDC_control,rMa_control,Treg_control
MAD2L2,4.404398252551253,5.170150351704091,NaN,5.233820654252601,NaN,NaN,6.889829359837038,3.6610347186378753,5.726997425074969,4.956471006258284,5.200993721259012
DRAXIN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
AGTRAP,3.196012545412639,4.156274545969651,5.429201434433086,4.035520039427065,NaN,NaN,5.737896115170691,5.672158161908016,NaN,1.9042780777266748,NaN
C1orf167,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTHFR,3.76155589747001,2.6755810795360175,4.488884201458341,6.152701332992379,NaN,NaN,NaN,5.85985390010329,NaN,2.7549650614260583,5.644677401072914
CLCN6,4.806652850249829,3.6510877590058053,NaN,4.035520039427065,NaN,NaN,NaN,3.0691693195207774,NaN,2.2064952687670143,3.051997284787554
NPPA-AS1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.897650930711056
KIAA2013,5.5160213590907565,4.811656857597888,4.488884201458341,NaN,NaN,NaN,4.665915744512434,4.327613607312769,7.126630897272264,3.5409425732925155,5.597802431933385
PLOD1,2.221986600214439,NaN,NaN,NaN,NaN,NaN,NaN,4.645102520399,NaN,NaN,NaN
MFN2,3.121302004328581,4.749415845913927,5.663318997329682,NaN,NaN,NaN,3.9919043778387717,3.430901013451018,NaN,NaN,5.279409596068265
MIIP,5.049463977812873,NaN,5.429201434433086,5.626361810315451,10.868173488035662,NaN,2.121003210239777,4.117173223299833,NaN,0.9664325159347108,4.973109105310183
TNFRSF8,2.3211204117946287,NaN,NaN,NaN,NaN,NaN,NaN,2.641024420040411,NaN,NaN,NaN
TNFRSF1B,6.622506353641509,6.372615582101855,NaN,6.540625799845037,NaN,NaN,NaN,8.833507128489225,7.126630897272264,2.5102576607836586,6.377880021315259
VPS13D,5.382900298270124,5.482907434305342,4.366942706528799,4.408129129936669,NaN,NaN,5.089193670443945,3.6087682515828874,5.726997425074969,NaN,6.423822910009052
DHRS3,NaN,5.631889420165954,NaN,4.035520039427065,NaN,NaN,2.048740466838966,6.1747317940192294,NaN,3.727676680175075,5.709199197091215
RP11-474O21.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
C1orf158,3.387992940071727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PDPN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PRDM2,8.376824086676901,6.719247807123468,5.429201434433086,NaN,NaN,NaN,3.131377098680898,5.664107577085786,7.5902799519119535,4.935661088694213,6.156405626455035
KAZN,NaN,2.4665761938054005,4.488884201458341,NaN,NaN,NaN,3.826662735228031,NaN,NaN,NaN,NaN
TMEM51,NaN,NaN,NaN,4.035520039427065,NaN,NaN,NaN,2.594512731699078,NaN,NaN,NaN
FHAD1,NaN,NaN,NaN,NaN,NaN,NaN,0.8993277382302456,NaN,NaN,NaN,NaN
RP3-467K16.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP3-467K16.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9369389075624266
EFHD2,5.857306056581773,6.503993944980182,4.488884201458341,8.561970329879903,NaN,8.671825305633394,7.149041325440595,8.391201909473542,7.126630897272264,8.556429913788497,6.02957632058457
CTRC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CASP9,2.6815848128814967,3.1476495238512396,NaN,NaN,NaN,NaN,NaN,4.130011255384376,NaN,2.2895450895757077,3.417501802285859
DNAJC16,2.3211204117946287,3.748390819852026,NaN,NaN,NaN,NaN,NaN,3.499799993533486,NaN,4.158171761489455,5.259133632230671
AGMAT,4.53401209527796,NaN,4.488884201458341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.051997284787554
RP4-680D5.2,NaN,NaN,NaN,NaN,NaN,NaN,-0.10067226176975268,NaN,NaN,NaN,NaN
DDI2,6.446954659745685,4.399213506365619,NaN,4.035520039427065,NaN,NaN,3.8249851826658876,3.5642866202190224,NaN,0.9664325159347108,2.458822208711306
PLEKHM2,4.959728178773306,4.82140634280179,NaN,NaN,NaN,NaN,4.407623671420935,3.988536311981586,NaN,4.007030268535922,4.07778518795825
