ligand	receptor	ligand_cell_source	ligand_dir	target_cell_counts	receptor_cell_target
LAMC2	ITGA5	imm_enterocyte_2	downreg	16	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell2,plasma
LAMC2	ITGA6	imm_enterocyte_2	downreg	16	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC2,GC_Bcell,NK,Treg,cycling_Bcell,macrophage,mast_cell1,mast_cell2,plasma
LAMC2	ITGA7	imm_enterocyte_2	downreg	4	CD4_activ_fos_lo,CD8_IEL,macrophage,plasma
LAMC2	ITGA8	imm_enterocyte_2	downreg	10	CD4_MThi,CD4_activ_fos_lo,CD4_memory,CD8_LP,GC_Bcell,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,plasma
LAMC2	ITGA9	imm_enterocyte_2	downreg	7	CD4_memory,DC1,NK,macrophage,mast_cell1,mast_cell2,plasma
LAMC2	ITGAV	imm_enterocyte_2	downreg	13	CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,GC_Bcell,NK,Treg,cycling_Bcell,macrophage,mast_cell1,plasma
LAMC2	ITGB1	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
LAMC2	ITGB3	imm_enterocyte_2	downreg	1	plasma
LAMC2	ITGB4	imm_enterocyte_2	downreg	9	CD4_activ_fos_hi,CD4_activ_fos_lo,CD8_IEL,CD8_IL17,CD8_LP,NK,cycling_Bcell,macrophage,plasma
LAMC2	ITGB5	imm_enterocyte_2	downreg	7	CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_LP,DC2,macrophage,plasma
LAMC2	ITGB6	imm_enterocyte_2	downreg	6	CD4_MThi,CD8_IEL,CD8_LP,cycling_Bcell,macrophage,plasma
LAMC2	ITGB7	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
LAMC2	ITGB8	imm_enterocyte_2	downreg	9	CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,Treg,macrophage,plasma
LAMC2	PRNP	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
LGALS3BP	ITGB1	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
LGALS3BP	VANGL1	imm_enterocyte_2	downreg	10	CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,ILC,cycling_Tcell,macrophage,plasma
