gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	comparison
VAMP5	0.00000	0.85915	0.75600	0.36600	0.00000	ciliated_sars_vs_healthy
TUBB2A	0.00000	0.86370	0.81100	0.33700	0.00000	ciliated_sars_vs_healthy
RPS4Y1	0.00000	0.86640	0.79400	0.12400	0.00000	ciliated_sars_vs_healthy
TM4SF1	0.00000	0.86665	0.82500	0.50700	0.00000	ciliated_sars_vs_healthy
S100A6	0.00000	0.86901	0.99500	0.99400	0.00000	ciliated_sars_vs_healthy
PSMB9	0.00000	0.87027	0.87500	0.63000	0.00000	ciliated_sars_vs_healthy
ZG16B	0.00000	0.87036	0.85100	0.47600	0.00000	ciliated_sars_vs_healthy
PSME2	0.00000	0.88564	0.93000	0.81700	0.00000	ciliated_sars_vs_healthy
CEACAM6	0.00000	0.88587	0.84700	0.41300	0.00000	ciliated_sars_vs_healthy
CXCL3	0.00000	0.90676	0.39900	0.07600	0.00000	ciliated_sars_vs_healthy
KRT4	0.00000	0.92062	0.76600	0.45600	0.00000	ciliated_sars_vs_healthy
VAMP8	0.00000	0.92313	0.96000	0.90300	0.00000	ciliated_sars_vs_healthy
GSTP1	0.00000	0.92464	0.97600	0.98200	0.00000	ciliated_sars_vs_healthy
CDC42EP5	0.00000	0.93403	0.90800	0.60300	0.00000	ciliated_sars_vs_healthy
LY6E	0.00000	0.95744	0.96600	0.89200	0.00000	ciliated_sars_vs_healthy
FCGBP	0.00000	0.95957	0.58300	0.21800	0.00000	ciliated_sars_vs_healthy
MUC2	0.00000	0.97112	0.34900	0.15100	0.00000	ciliated_sars_vs_healthy
RP11-350J20.12	0.00000	0.98334	0.74700	0.22400	0.00000	ciliated_sars_vs_healthy
VSIG2	0.00000	0.98682	0.91300	0.60800	0.00000	ciliated_sars_vs_healthy
ALPL	0.00000	0.99723	0.79700	0.23400	0.00000	ciliated_sars_vs_healthy
WFDC2	0.00000	1.00580	0.99100	0.98500	0.00000	ciliated_sars_vs_healthy
TXN	0.00000	1.00640	0.96300	0.95600	0.00000	ciliated_sars_vs_healthy
DHRS9	0.00000	1.01417	0.92100	0.54600	0.00000	ciliated_sars_vs_healthy
S100A13	0.00000	1.04328	0.94500	0.80800	0.00000	ciliated_sars_vs_healthy
